country_or_area,element_code,element,year,unit,value,value_footnotes,categgory
United States of America,150,Non-fertilizer use,2007,tonnes,0.00000,NR,ammonia_anhydrous
United States of America,150,Non-fertilizer use,2006,tonnes,1120025.00000,Qm,ammonia_anhydrous
United States of America,150,Non-fertilizer use,2005,tonnes,1076048.00000,Qm,ammonia_anhydrous
United States of America,150,Non-fertilizer use,2004,tonnes,637163.00000,Qm,ammonia_anhydrous
United States of America,150,Non-fertilizer use,2003,tonnes,1236054.00000,Qm,ammonia_anhydrous
United States of America,150,Non-fertilizer use,2002,tonnes,1258252.00000,Qm,ammonia_anhydrous
United States of America,51,Production Quantity,2007,tonnes,0.00000,NR,ammonia_anhydrous
United States of America,51,Production Quantity,2006,tonnes,9961761.00000,Qm,ammonia_anhydrous
United States of America,51,Production Quantity,2005,tonnes,10143251.00000,Qm,ammonia_anhydrous
United States of America,51,Production Quantity,2004,tonnes,10938923.00000,Qm,ammonia_anhydrous
United States of America,51,Production Quantity,2003,tonnes,10467904.00000,Qm,ammonia_anhydrous
United States of America,51,Production Quantity,2002,tonnes,12576514.00000,Qm,ammonia_anhydrous
United States of America,5157,Consumption,2007,tonnes,0.00000,NR,ammonia_anhydrous
United States of America,5157,Consumption,2006,tonnes,15803831.00000,Fb,ammonia_anhydrous
United States of America,5157,Consumption,2005,tonnes,16393196.00000,Fb,ammonia_anhydrous
United States of America,5157,Consumption,2004,tonnes,17045391.00000,Fb,ammonia_anhydrous
United States of America,5157,Consumption,2003,tonnes,15697025.00000,Fb,ammonia_anhydrous
United States of America,5157,Consumption,2002,tonnes,17721464.00000,Fb,ammonia_anhydrous
United States of America,61,Import Quantity,2007,tonnes,0.00000,NR,ammonia_anhydrous
United States of America,61,Import Quantity,2006,tonnes,7197827.00000,Qm,ammonia_anhydrous
United States of America,61,Import Quantity,2005,tonnes,7964723.00000,Qm,ammonia_anhydrous
United States of America,61,Import Quantity,2004,tonnes,7206960.00000,Qm,ammonia_anhydrous
United States of America,61,Import Quantity,2003,tonnes,6952676.00000,Qm,ammonia_anhydrous
United States of America,61,Import Quantity,2002,tonnes,5676640.00000,Qm,ammonia_anhydrous
United States of America,91,Export Quantity,2007,tonnes,0.00000,NR,ammonia_anhydrous
United States of America,91,Export Quantity,2006,tonnes,235732.00000,Qm,ammonia_anhydrous
United States of America,91,Export Quantity,2005,tonnes,638730.00000,Qm,ammonia_anhydrous
United States of America,91,Export Quantity,2004,tonnes,463329.00000,Qm,ammonia_anhydrous
United States of America,91,Export Quantity,2003,tonnes,487500.00000,Qm,ammonia_anhydrous
United States of America,91,Export Quantity,2002,tonnes,531690.00000,Qm,ammonia_anhydrous
United States of America,150,Non-fertilizer use,2007,tonnes,0.00000,NR,ammonium_nitrate
United States of America,150,Non-fertilizer use,2006,tonnes,0.00000,NR,ammonium_nitrate
United States of America,150,Non-fertilizer use,2005,tonnes,0.00000,NR,ammonium_nitrate
United States of America,150,Non-fertilizer use,2004,tonnes,0.00000,NR,ammonium_nitrate
United States of America,150,Non-fertilizer use,2003,tonnes,0.00000,NR,ammonium_nitrate
United States of America,150,Non-fertilizer use,2002,tonnes,0.00000,NR,ammonium_nitrate
United States of America,51,Production Quantity,2007,tonnes,0.00000,NR,ammonium_nitrate
United States of America,51,Production Quantity,2006,tonnes,0.00000,NR,ammonium_nitrate
United States of America,51,Production Quantity,2005,tonnes,0.00000,NR,ammonium_nitrate
United States of America,51,Production Quantity,2004,tonnes,0.00000,NR,ammonium_nitrate
United States of America,51,Production Quantity,2003,tonnes,0.00000,NR,ammonium_nitrate
